요구사항ID,도메인,요구사항,관계유형,관련 요구사항ID,관계 설명,요구 설명,우선순위,3사/핏지니 포함여부,대표 출처,중복 병합 출처 수,비고
REQ-MBR-011,회원관리,가족 회원 그룹 관리,독립,,현재 기준 독립 요구사항으로 판단,"회원관리 / 회원 고급(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 가족 그룹 — 차별",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R29,1,원천 기능행
REQ-MBR-012,회원관리,계정 생성,독립,,현재 기준 독립 요구사항으로 판단,"Member App > 가입/온보딩 > 회원가입. 전화번호/이메일 인증을 통해 회원 계정을 생성하고, 지점 선택을 완료한다.. Input=전화번호, 이메일, 인증코드, 비밀번호, 지점ID. Output=회원 계정 생성 결과, 회원ID, 가입 완료 상태. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R63,1,스포짐 원천요구
REQ-MBR-013,회원관리,기본정보 조회·수정,부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"회원관리 / 회원 상세. 3사 비교: BroJ=○, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 회원 상세 15개 탭",,"BroJ=○, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R8,1,원천 기능행
REQ-MBR-014,회원관리,내 담당 회원 리스트,유사연계,"REQ-HQ-102, REQ-FAC-023, REQ-MKT-019, REQ-HQ-114, REQ-HQ-084, REQ-MBR-007","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=회원등급/세그먼트. 예: REQ-HQ-102 자동 생성 Task 리스트, REQ-FAC-023 민원 발생 트래킹, REQ-MKT-019 상담 관리 (CRM), REQ-HQ-114 전체 회원 LTV","Staff App > 회원 관리 > 회원 리스트. 직원에게 배정된 담당 회원 목록을 보여주고, 검색/필터(PT 회원, 신규, AT-RISK 등)가 가능하다.. Input=직원ID, 회원-담당자 매핑, 회원 세그먼트 정보. Output=담당 회원 리스트, 세그먼트별 카운트(PT/신규/AT-RISK 등). 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R75,1,스포짐 원천요구
REQ-MBR-015,회원관리,담당 트레이너 지정,유사연계,"REQ-STF-049, REQ-CLS-053, REQ-STF-048, REQ-STF-051, REQ-STF-050, REQ-STF-053","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=권한/역할. 예: REQ-STF-049 트레이너 실적 정산, REQ-CLS-053 트레이너 실적, REQ-STF-048 트레이너 OT, REQ-STF-051 트레이너 태그","회원관리 / 회원 등록. 3사 비교: BroJ=○, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 회원 상세 기본 필드",,"BroJ=○, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R6,1,원천 기능행
REQ-MBR-016,회원관리,데이터 인사이트,유사연계,"REQ-FAC-039, REQ-HQ-100, REQ-HQ-138, REQ-MKT-028, REQ-HQ-098, REQ-SET-024","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI. 예: REQ-FAC-039 오프라인 운영 데이터 통합, REQ-HQ-100 인센티브/피드백 힌트, REQ-HQ-138 트레이너 실적 리포트, REQ-MKT-028 자동알림(이탈위험) 트리거","KPI, 액션 큐, 상담, 재등록, OT 데이터를 기반으로 시스템이 증감/원인/다음 액션을 보여주는 영역. / AI가 자동 작성하는 개념은 아니며, 지표 조건에 따라 문구/원인/다음 액션이 노출되는 방식. / 어떤 값/조건에서 어떤 코멘트가 나오는지 정의가 필요.",,,회의록: lastspr/요구리스트관련자료/회의록/260518.md::L39,1,회의결정/논의
REQ-MBR-017,회원관리,리드 목록(유입경로·단계·담당자),부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"회원관리 / 리드 CRM(FG). 3사 비교: BroJ=△, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 리드 관리",,"BroJ=△, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R31,1,원천 기능행
REQ-MBR-018,회원관리,리포트,부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"상담 퍼널 리포트는 기간, 지점, 담당자, 유입경로, 상담 단계, 등록 전환 여부 등을 기준으로 보는 것으로 우선 이해. / 별도 전환 분석 모듈인지 단순 리포트 필터인지 추가 협의 필요.",,,회의록: lastspr/요구리스트관련자료/회의록/260518.md::L70,1,회의결정/논의
REQ-MBR-019,회원관리,방문 목록,부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"회원관리 / 방문·출석. 3사 비교: BroJ=○, OnFit=○, LessonBook=△, FitGenie=△. 월별 방문 차트(MFN-521)·회원 목록 일부 / 전용 '방문 목록' 화면은 약함 (사용자 ONF-14 부분/검토)",,"BroJ=○, OnFit=○, LessonBook=△, FitGenie=△",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R21,1,원천 기능행
REQ-MBR-020,회원관리,방문율 분석,유사연계,"REQ-FAC-050, REQ-APP-037, REQ-RSV-008, REQ-RSV-043, REQ-RSV-011, REQ-APP-004","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-FAC-050 청소 인증률 분석, REQ-APP-037 출석 이력 조회, REQ-RSV-008 QR/바코드 출석, REQ-RSV-043 출석 QR 체크인","Manager App > 회원 관리 > 회원 분석. 지점 전체 방문율/요일별 방문 패턴을 분석하고 문제 요일을 표시한다.. Input=출입 기록, 요일/시간대 데이터. Output=방문율 %, 문제 요일/시간대 표시. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R111,1,스포짐 원천요구
REQ-MBR-021,회원관리,방문 이력,중복병합,,동일 또는 사실상 같은 요구를 2개 출처에서 병합. 관련그룹=-,"회원관리 / 방문·출석. 3사 비교: BroJ=○, OnFit=○, LessonBook=△, FitGenie=△. 월별 방문 라인 차트만 명시 / 회원별 방문 이력 상세는 약함 (사용자 ONF-14 부분/검토) / 회원. 일별·기간별 방문 통계. 출처=온핏",P1,"BroJ=○, OnFit=○, LessonBook=△, FitGenie=△",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R22 | 3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R4,2,원천 기능행
REQ-MBR-022,회원관리,법인 회원권,유사연계,"REQ-CLS-051, REQ-APP-042, REQ-APP-031, REQ-APP-028, REQ-APP-021, REQ-HQ-043","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=자동알림/메시지, 출입/키오스크/모바일. 예: REQ-CLS-051 출석 QR 체크인(회원 자가 출석), REQ-APP-042 회원 홈 대시보드, REQ-APP-031 체성분/FMS 조회, REQ-APP-028 실시간 입장·회원 식별","기명: 회원을 지정해 일반 회원처럼 관리. / 무기명: 회사 단위로 일괄 계약하고, QR/번호 등을 공유해 입장하는 방식. / 무기명은 일일 이용 가능 인원 수 제한과 카운팅 필요. / 제한 초과 시 CRM/점장/담당자에게 알림이 가는 구조가 필요. / 회원앱에서 잔여 인원까지 보여줄지는 1.0 범위를 넘길 수 있어 우선순위 조정 필요.",,,회의록: lastspr/요구리스트관련자료/회의록/260519.md::L57,1,회의결정/논의
REQ-MBR-023,회원관리,빠른 액션 버튼,유사연계,"REQ-APP-019, REQ-HQ-048, REQ-HQ-070, REQ-CLS-021, REQ-CLS-047, REQ-PAY-032","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=회원등급/세그먼트. 예: REQ-APP-019 멤버십 등급 조회, REQ-HQ-048 마케팅 자동화 플랫폼
 : 고객 세그먼트별 자동 캠페인 실행
A/B 테스트 시스템
 : 프로모션 메시지 및 채널별 효과 자동 비교
개인화 엔진
 : 회원 활동 패턴 기반 맞춤형 상품 추천
리타겟팅 시스템
 : 이탈 고객 대상 자동 재방문 유도 캠페인, REQ-HQ-070 스마트 리워드 시스템
 : 출석 시마다 1,000원 상당 포인트 자동 적립
등급별 차별화
 : 100만원 이상 회원 대상 프리미엄 혜택
게이미피케이션
 : 출석 스트릭, 도전 과제, 랭킹 시스템 도입
포인트 활용
 : 부가 서비스, 상품 구매, 회원권 연장 등, REQ-CLS-021 PT 패키지 선택","Staff App > 회원 관리 > 회원 상세. 전화/문자/카카오톡, PT 추천, GX 추천, 재등록 상담 예약 등 주요 액션을 원클릭으로 실행할 수 있다.. Input=회원 연락처, 선호 채널, 회원ID, 현재 상태(AT-RISK/재등록 등), 직원ID. Output=발송/예약 결과, 커뮤니케이션 로그, 상담 예약 레코드. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R78,1,스포짐 원천요구
REQ-MBR-024,회원관리,상담 내역 관리,독립,,현재 기준 독립 요구사항으로 판단,"회원관리 / 상담 관리. 3사 비교: BroJ=○, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 리드 관리(잠재 고객 + 칸반 DnD)",,"BroJ=○, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R17,1,원천 기능행
REQ-MBR-025,회원관리,상담/메모 기록 보기/추가,독립,,현재 기준 독립 요구사항으로 판단,"Staff App > 회원 관리 > 메모/히스토리. 회원별 상담 내용, 민원, 목표 변경, 특별 요청사항 등을 시간순으로 보고 새 메모를 추가할 수 있다.. Input=회원ID, 직원ID, 메모 텍스트, 상담 유형, 작성 시간. Output=상담 히스토리 리스트, 신규 메모 레코드. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R79,1,스포짐 원천요구
REQ-MBR-026,회원관리,상담 예약 관리,독립,,현재 기준 독립 요구사항으로 판단,"회원관리 / 상담 관리. 3사 비교: BroJ=○, OnFit=△, LessonBook=△, FitGenie=○. 핏지니 리드 칸반",,"BroJ=○, OnFit=△, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R18,1,원천 기능행
REQ-MBR-027,회원관리,상담 자동 녹음 및 요약,유사연계,"REQ-FAC-045, REQ-HQ-086, REQ-RSV-014, REQ-STF-021, REQ-HQ-063, REQ-SET-005","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 권한/역할. 예: REQ-FAC-045 장비 고장 자동 감지 및 신고, REQ-HQ-086 업무일지 자동 생성 및 분석, REQ-RSV-014 노쇼 15분 자동 감지 및 알림, REQ-STF-021 담당자별 성과",시스템=; KPI=리드 누락률 (FC); 효과=모든 상담 자동 녹음 및 AI 요약으로 상담 내용 100% 기록. 후속 조치 누락 방지로 리드 누락률 3% 이하 달성; 흐름=상담 진행 → 자동 녹음 → AI 요약 생성 → CRM 자동 기록 → 누락률 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R27,1,대시보드/KPI
REQ-MBR-028,회원관리,상담 퍼널,부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"상담 기록을 남기고 전화문의/방문문의 등 유입 및 상담 단계, 등록 전환 여부를 필터링/표시하는 기능으로 이해. / 큰 이견은 없으나 용어가 생소할 수 있어 생소한 용어에 대해서는 카톡 등으로 즉시 질의하기로 함.",,,회의록: lastspr/요구리스트관련자료/회의록/260518.md::L23,1,회의결정/논의
REQ-MBR-029,회원관리,설문조사 관리,부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"회원관리 / 회원 상세. 3사 비교: BroJ=×, OnFit=○, LessonBook=×, FitGenie=○. 핏지니 회원 상세 15탭에 설문 포함 (사용자 ONF-07 포함)",,"BroJ=×, OnFit=○, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R12,1,원천 기능행
REQ-MBR-030,회원관리,세그먼트 자동 판정/조건 빌더,유사연계,"REQ-MBR-049, REQ-MBR-033, REQ-MBR-065, REQ-APP-019, REQ-STF-031, REQ-HQ-102","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=회원등급/세그먼트. 예: REQ-MBR-049 재등록 대상 자동 추출, REQ-MBR-033 신규 등록(잠재) 회원 풀 관리, REQ-MBR-065 회원 등급 체계 관리, REQ-APP-019 멤버십 등급 조회","회원관리 / 회원 고급(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 조건 빌더 기반 자동 분류",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R26,1,원천 기능행
REQ-MBR-031,회원관리,세일즈북 자동 업데이트,유사연계,"REQ-MKT-028, REQ-MKT-027, REQ-HQ-086, REQ-HQ-102, REQ-HQ-087, REQ-SET-027","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 권한/역할. 예: REQ-MKT-028 자동알림(이탈위험) 트리거, REQ-MKT-027 자동알림(신규) 트리거, REQ-HQ-086 업무일지 자동 생성 및 분석, REQ-HQ-102 자동 생성 Task 리스트",시스템=; KPI=신규 전환율 (Branch Manager); 효과=성공 상담 패턴 AI 학습 및 세일즈북 자동 업데이트. 전사 상담 품질 표준화로 지점 신규 전환율 35%+ 달성; 흐름=상담 데이터 → AI 패턴 학습 → 세일즈북 업데이트 → FC 교육 → 전환율 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R29,1,대시보드/KPI
REQ-MBR-032,회원관리,신규/AT-RISK/재등록 탭,유사연계,"REQ-HQ-002, REQ-HQ-106, REQ-HQ-108, REQ-HQ-028, REQ-HQ-084, REQ-HQ-102","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=회원등급/세그먼트. 예: REQ-HQ-002 AT-RISK 회수율, REQ-HQ-106 재등록률, REQ-HQ-108 재등록 전환율, REQ-HQ-028 Task 필터/정렬","Staff App > 회원 관리 > 회원 리스트. 신규 30일 이내, AT-RISK, 재등록 D-14/D-7/D-1 대상자를 탭/필터로 빠르게 전환해 볼 수 있다.. Input=회원 세그먼트 플래그(신규/AT-RISK/재등록), 지점ID, 직원ID. Output=세그먼트별 회원 리스트, 각 그룹 인원 수. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R76,1,스포짐 원천요구
REQ-MBR-033,회원관리,신규 등록(잠재) 회원 풀 관리,유사연계,"REQ-MBR-030, REQ-MBR-049, REQ-HQ-084, REQ-APP-019, REQ-HQ-106, REQ-HQ-108","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=회원등급/세그먼트. 예: REQ-MBR-030 세그먼트 자동 판정/조건 빌더, REQ-MBR-049 재등록 대상 자동 추출, REQ-HQ-084 신규 회원 획득 비용 (CAC), REQ-APP-019 멤버십 등급 조회","회원관리 / 상담 관리. 3사 비교: BroJ=○, OnFit=△, LessonBook=×, FitGenie=○. 핏지니 리드 + 세그먼트",,"BroJ=○, OnFit=△, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R19,1,원천 기능행
REQ-MBR-034,회원관리,신규 온보딩 성공률 분석,독립,,현재 기준 독립 요구사항으로 판단,"HQ Dashboard > 캠페인/프로모션 분석 > 캠페인 메인. 캠페인 기간 동안 신규 회원 온보딩(30일 정착) 성공률을 분석한다.. Input=캠페인 ID, 신규 회원 플래그, 온보딩 데이터. Output=캠페인별 온보딩 성공률, 컨트롤 대비 향상도. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R139,1,스포짐 원천요구
REQ-MBR-035,회원관리,신규 회원 등록(이름·전화·성별·생년월일),독립,,현재 기준 독립 요구사항으로 판단,"회원관리 / 회원 등록. 3사 비교: BroJ=○, OnFit=○, LessonBook=○, FitGenie=○. BroJ modal_05~07 / OnFit modal_01 / 핏지니 회원 등록 Step 1·2",,"BroJ=○, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R4,1,원천 기능행
REQ-MBR-036,회원관리,신규 회원 리스트,독립,,현재 기준 독립 요구사항으로 판단,"Manager App > 회원 관리 > 회원 리스트. 지점 신규 회원을 30일 정착관리 기준으로 모아 보여준다.. Input=회원 가입일, 방문 기록, 온보딩 기록. Output=신규 회원 리스트, 정착 상태 태그. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R108,1,스포짐 원천요구
