edgeId,diagramId,fromNode,toNode,label,actor,tcId,tcType,priority,automated,notes
E_HQ_VIEW_KPI_01,X09,,,"",manager,TC-X09-010,positive,P2,Y,
E_L_INQUIRY_01,X10,,,"",manager,TC-X10-001,positive,P2,Y,
E_CH_CREATE_LEAD_01,X10,,,"",manager,TC-X10-002,positive,P2,Y,
E_API_LEAD_EVENT_01,X10,,,"",manager,TC-X10-003,positive,P2,Y,
E_AUT_WELCOME_01,X10,,,"",manager,TC-X10-004,positive,P2,Y,
E_AUT_ASSIGN_FC_01,X10,,,"",manager,TC-X10-005,positive,P2,Y,
E_AUT_NOTIFY_FC_01,X10,,,"",manager,TC-X10-006,positive,P2,Y,
E_FC_GET_LEAD_01,X10,,,"",manager,TC-X10-007,positive,P2,Y,
E_FC_BOOK_CONSULT_01,X10,,,"",manager,TC-X10-008,positive,P2,Y,
E_API_CONSULT_CONFIRM_01,X10,,,"",manager,TC-X10-009,positive,P2,Y,
E_FC_FOLLOWUP_01,X10,,,"",manager,TC-X10-010,positive,P2,Y,
E_MB_WITHDRAW_REQUEST_01,X11,,,"",manager,TC-X11-001,positive,P2,Y,
E_M_WITHDRAW_CHECK_01,X11,,,"",manager,TC-X11-002,positive,P2,Y,
E_M_WITHDRAW_01,X11,,,"",manager,TC-X11-003,positive,P2,Y,
E_API_MASK_PII_01,X11,,,"",manager,TC-X11-004,positive,P2,Y,
E_API_AUDIT_01,X11,,,"",manager,TC-X11-005,positive,P2,Y,
E_API_WITHDRAW_NOTIFY_01,X11,,,"",manager,TC-X11-006,positive,P2,Y,
E_M_GET_TEMPLATES_01,X12,,,"",manager,TC-X12-001,positive,P2,Y,
E_M_BULK_CREATE_01,X12,,,"",manager,TC-X12-002,positive,P2,Y,
E_API_CLASS_OPEN_01,X12,,,"",manager,TC-X12-003,positive,P2,Y,
E_MB_GET_LESSONS_01,X12,,,"",manager,TC-X12-004,positive,P2,Y,
E_MB_RESERVE_01,X12,,,"",manager,TC-X12-005,positive,P2,Y,
E_API_CONFIRM_RESERVE_01,X12,,,"",manager,TC-X12-006,positive,P2,Y,
E_API_WAITLIST_01,X12,,,"",manager,TC-X12-007,positive,P2,Y,
E_A01_CRON_QUERY_01,A01_만료임박_알림,,,"E_A01_CRON_QUERY_01",system,TC-A01-001-BND,boundary,P2,Y,
E_A01_QUERY_EMPTY_01,A01_만료임박_알림,,,"E_A01_QUERY_EMPTY_01",system,TC-A01-002-BND,boundary,P2,Y,
E_A01_QUERY_FOUND_01,A01_만료임박_알림,,,"E_A01_QUERY_FOUND_01",system,TC-A01-003-BND,boundary,P2,Y,
E_A01_LOOP_CHECK_01,A01_만료임박_알림,,,"E_A01_LOOP_CHECK_01",system,TC-A01-004-BND,boundary,P2,Y,
E_A01_OPTOUT_YES_01,A01_만료임박_알림,,,"E_A01_OPTOUT_YES_01 거부",system,TC-A01-005-NEG,negative,P1,Y,
E_A01_OPTOUT_NO_01,A01_만료임박_알림,,,"E_A01_OPTOUT_NO_01 수신 허용",system,TC-A01-006-BND,boundary,P2,Y,
E_A01_DUP_YES_01,A01_만료임박_알림,,,"E_A01_DUP_YES_01 중복",system,TC-A01-007-NEG,negative,P1,Y,
E_A01_DUP_NO_01,A01_만료임박_알림,,,"E_A01_DUP_NO_01 최초",system,TC-A01-008-BND,boundary,P2,Y,
E_A01_DDAY_30_01,A01_만료임박_알림,,,"E_A01_DDAY_30_01 D-30",system,TC-A01-009-BND,boundary,P2,Y,
E_A01_DDAY_7_01,A01_만료임박_알림,,,"E_A01_DDAY_7_01 D-7",system,TC-A01-010-BND,boundary,P2,Y,
E_A01_DDAY_1_01,A01_만료임박_알림,,,"E_A01_DDAY_1_01 D-1",system,TC-A01-011-BND,boundary,P2,Y,
E_A01_MSG_SEND_01,A01_만료임박_알림,,,"E_A01_MSG_SEND_01",system,TC-A01-012-BND,boundary,P2,Y,
E_A01_CH_PUSH_01,A01_만료임박_알림,,,"E_A01_CH_PUSH_01 앱 푸시",system,TC-A01-013-BND,boundary,P2,Y,
E_A01_CH_SMS_01,A01_만료임박_알림,,,"E_A01_CH_SMS_01 SMS",system,TC-A01-014-BND,boundary,P2,Y,
E_A01_CH_KAKAO_01,A01_만료임박_알림,,,"E_A01_CH_KAKAO_01 카카오",system,TC-A01-015-BND,boundary,P2,Y,
E_A01_SEND_OK_01,A01_만료임박_알림,,,"E_A01_SEND_OK_01 성공",system,TC-A01-016-BND,boundary,P2,Y,
E_A01_SEND_FAIL_01,A01_만료임박_알림,,,"E_A01_SEND_FAIL_01 실패",system,TC-A01-017-NEG,negative,P1,Y,
E_A01_RETRY_YES_01,A01_만료임박_알림,,,"E_A01_RETRY_YES_01 재시도",system,TC-A01-018-BND,boundary,P2,Y,
E_A01_RETRY_NO_01,A01_만료임박_알림,,,"E_A01_RETRY_NO_01 초과",system,TC-A01-019-BND,boundary,P2,Y,
E_A01_NEXT_01,A01_만료임박_알림,,,"E_A01_NEXT_01",system,TC-A01-020-BND,boundary,P2,Y,
E_A01_NEXT_YES_01,A01_만료임박_알림,,,"E_A01_NEXT_YES_01",system,TC-A01-021-BND,boundary,P2,Y,
E_A01_NEXT_NO_01,A01_만료임박_알림,,,"E_A01_NEXT_NO_01 완료",system,TC-A01-022-BND,boundary,P2,Y,
E_A01_END_01,A01_만료임박_알림,,,"E_A01_END_01",system,TC-A01-023-BND,boundary,P2,Y,
E_A02_CRON_QUERY_01,A02_휴면_전환,,,"E_A02_CRON_QUERY_01",system,TC-A02-001-BND,boundary,P2,Y,
E_A02_QUERY_EMPTY_01,A02_휴면_전환,,,"E_A02_QUERY_EMPTY_01 없음",system,TC-A02-002-NEG,negative,P1,Y,
E_A02_QUERY_FOUND_01,A02_휴면_전환,,,"E_A02_QUERY_FOUND_01 있음",system,TC-A02-003-BND,boundary,P2,Y,
E_A02_LOOP_STATUS_01,A02_휴면_전환,,,"E_A02_LOOP_STATUS_01",system,TC-A02-004-BND,boundary,P2,Y,
E_A02_STATUS_NO_01,A02_휴면_전환,,,"E_A02_STATUS_NO_01 변경됨",system,TC-A02-005-BND,boundary,P2,Y,
E_A02_STATUS_YES_01,A02_휴면_전환,,,"E_A02_STATUS_YES_01 ACTIVE",system,TC-A02-006-BND,boundary,P2,Y,
E_A02_MEM_YES_01,A02_휴면_전환,,,"E_A02_MEM_YES_01 있음",system,TC-A02-007-BND,boundary,P2,Y,
E_A02_MEM_NO_01,A02_휴면_전환,,,"E_A02_MEM_NO_01 없음",system,TC-A02-008-NEG,negative,P1,Y,
E_DORMANT,A02_휴면_전환,,,"E_A02_UPDATE_OK_01 성공",system,TC-A02-009-BND,boundary,P2,Y,
E_A02_NOTIFY_01,A02_휴면_전환,,,"E_A02_NOTIFY_01",system,TC-A02-010-BND,boundary,P2,Y,
E_A02_NOTIFY_OK_01,A02_휴면_전환,,,"E_A02_NOTIFY_OK_01 성공",system,TC-A02-011-BND,boundary,P2,Y,
E_A02_NOTIFY_FAIL_01,A02_휴면_전환,,,"E_A02_NOTIFY_FAIL_01 실패",system,TC-A02-012-NEG,negative,P1,Y,
E_A02_NEXT_01,A02_휴면_전환,,,"E_A02_NEXT_01",system,TC-A02-013-BND,boundary,P2,Y,
E_A02_NEXT_YES_01,A02_휴면_전환,,,"E_A02_NEXT_YES_01",system,TC-A02-014-BND,boundary,P2,Y,
E_A02_NEXT_NO_01,A02_휴면_전환,,,"E_A02_NEXT_NO_01 완료",system,TC-A02-015-BND,boundary,P2,Y,
E_A02_END_01,A02_휴면_전환,,,"E_A02_END_01",system,TC-A02-016-BND,boundary,P2,Y,
E_A03_CRON_QUERY_01,A03_이용권_만료처리,,,"E_A03_CRON_QUERY_01",system,TC-A03-001-BND,boundary,P2,Y,
E_A03_QUERY_EMPTY_01,A03_이용권_만료처리,,,"E_A03_QUERY_EMPTY_01 없음",system,TC-A03-002-NEG,negative,P1,Y,
E_A03_QUERY_FOUND_01,A03_이용권_만료처리,,,"E_A03_QUERY_FOUND_01 있음",system,TC-A03-003-BND,boundary,P2,Y,
E_A03_LOOP_HOLDING_01,A03_이용권_만료처리,,,"E_A03_LOOP_HOLDING_01",system,TC-A03-004-BND,boundary,P2,Y,
E_A03_HOLDING_YES_01,A03_이용권_만료처리,,,"E_A03_HOLDING_YES_01 홀딩중",system,TC-A03-005-BND,boundary,P2,Y,
E_A03_HOLDING_NO_01,A03_이용권_만료처리,,,"E_A03_HOLDING_NO_01 일반",system,TC-A03-006-BND,boundary,P2,Y,
E_A03_TXN_UPDATE_01,A03_이용권_만료처리,,,"E_A03_TXN_UPDATE_01",system,TC-A03-007-BND,boundary,P2,Y,
E_MEM,A03_이용권_만료처리,,,"E_A03_UPDATE_MEMBER_01",system,TC-A03-008-BND,boundary,P2,Y,
E_MEMBER_STATUS,A03_이용권_만료처리,,,"E_A03_ALL_EXP_YES_01 모두 만료",system,TC-A03-009-NEG,negative,P1,Y,
E_MEMBER,A03_이용권_만료처리,,,"E_A03_TXN_COMMIT_01",system,TC-A03-010-BND,boundary,P2,Y,
E_A03_COMMIT_OK_01,A03_이용권_만료처리,,,"E_A03_COMMIT_OK_01 성공",system,TC-A03-011-BND,boundary,P2,Y,
E_A03_COMMIT_FAIL_01,A03_이용권_만료처리,,,"E_A03_COMMIT_FAIL_01 실패",system,TC-A03-012-NEG,negative,P1,Y,
E_A03_NOTIFY_01,A03_이용권_만료처리,,,"E_A03_NOTIFY_01",system,TC-A03-013-BND,boundary,P2,Y,
E_A03_NOTIFY_OK_01,A03_이용권_만료처리,,,"E_A03_NOTIFY_OK_01",system,TC-A03-014-BND,boundary,P2,Y,
E_A03_NOTIFY_FAIL_01,A03_이용권_만료처리,,,"E_A03_NOTIFY_FAIL_01",system,TC-A03-015-BND,boundary,P2,Y,
E_A03_NEXT_01,A03_이용권_만료처리,,,"E_A03_NEXT_01",system,TC-A03-016-BND,boundary,P2,Y,
E_A03_NEXT_YES_01,A03_이용권_만료처리,,,"E_A03_NEXT_YES_01",system,TC-A03-017-BND,boundary,P2,Y,
E_A03_NEXT_NO_01,A03_이용권_만료처리,,,"E_A03_NEXT_NO_01 완료",system,TC-A03-018-BND,boundary,P2,Y,
E_A03_END_01,A03_이용권_만료처리,,,"E_A03_END_01",system,TC-A03-019-BND,boundary,P2,Y,
E_A04_CRON_QUERY_01,A04_홀딩_자동연장,,,"E_A04_CRON_QUERY_01",system,TC-A04-001-BND,boundary,P2,Y,
E_A04_QUERY_EMPTY_01,A04_홀딩_자동연장,,,"E_A04_QUERY_EMPTY_01 없음",system,TC-A04-002-NEG,negative,P1,Y,
E_A04_QUERY_FOUND_01,A04_홀딩_자동연장,,,"E_A04_QUERY_FOUND_01 있음",system,TC-A04-003-BND,boundary,P2,Y,
E_A04_LOOP_CALC_01,A04_홀딩_자동연장,,,"E_A04_LOOP_CALC_01",system,TC-A04-004-BND,boundary,P2,Y,
E_A04_CALC_NEW_DATE_01,A04_홀딩_자동연장,,,"E_A04_CALC_NEW_DATE_01",system,TC-A04-005-BND,boundary,P2,Y,
E_A04_TXN_START_01,A04_홀딩_자동연장,,,"E_A04_TXN_START_01",system,TC-A04-006-BND,boundary,P2,Y,
E_A04_UPDATE_EXP_01,A04_홀딩_자동연장,,,"E_A04_UPDATE_EXP_01",system,TC-A04-007-BND,boundary,P2,Y,
E_EXPIRY,A04_홀딩_자동연장,,,"E_A04_UPDATE_STATUS_01",system,TC-A04-008-BND,boundary,P2,Y,
E_STATUS,A04_홀딩_자동연장,,,"E_A04_UPDATE_HOLDING_01",system,TC-A04-009-BND,boundary,P2,Y,
E_HOLDING,A04_홀딩_자동연장,,,"E_A04_COMMIT_01",system,TC-A04-010-BND,boundary,P2,Y,
E_A04_COMMIT_OK_01,A04_홀딩_자동연장,,,"E_A04_COMMIT_OK_01 성공",system,TC-A04-011-BND,boundary,P2,Y,
E_A04_COMMIT_FAIL_01,A04_홀딩_자동연장,,,"E_A04_COMMIT_FAIL_01 실패",system,TC-A04-012-NEG,negative,P1,Y,
E_A04_NOTIFY_01,A04_홀딩_자동연장,,,"E_A04_NOTIFY_01",system,TC-A04-013-BND,boundary,P2,Y,
E_A04_NOTIFY_OK_01,A04_홀딩_자동연장,,,"E_A04_NOTIFY_OK_01",system,TC-A04-014-BND,boundary,P2,Y,
E_A04_NOTIFY_FAIL_01,A04_홀딩_자동연장,,,"E_A04_NOTIFY_FAIL_01",system,TC-A04-015-BND,boundary,P2,Y,
E_A04_NEXT_01,A04_홀딩_자동연장,,,"E_A04_NEXT_01",system,TC-A04-016-BND,boundary,P2,Y,
E_A04_NEXT_YES_01,A04_홀딩_자동연장,,,"E_A04_NEXT_YES_01",system,TC-A04-017-BND,boundary,P2,Y,
E_A04_NEXT_NO_01,A04_홀딩_자동연장,,,"E_A04_NEXT_NO_01 완료",system,TC-A04-018-BND,boundary,P2,Y,
E_A04_END_01,A04_홀딩_자동연장,,,"E_A04_END_01",system,TC-A04-019-BND,boundary,P2,Y,
E_A05_EVENT_QUERY_01,A05_자동_페널티,,,"E_A05_EVENT_QUERY_01",system,TC-A05-001-BND,boundary,P2,Y,
E_A05_QUERY_EMPTY_01,A05_자동_페널티,,,"E_A05_QUERY_EMPTY_01 없음",system,TC-A05-002-NEG,negative,P1,Y,
E_A05_QUERY_FOUND_01,A05_자동_페널티,,,"E_A05_QUERY_FOUND_01 있음",system,TC-A05-003-BND,boundary,P2,Y,
E_A05_LOOP_POLICY_01,A05_자동_페널티,,,"E_A05_LOOP_POLICY_01",system,TC-A05-004-BND,boundary,P2,Y,
E_A05_POLICY_OFF_01,A05_자동_페널티,,,"E_A05_POLICY_OFF_01 비활성",system,TC-A05-005-BND,boundary,P2,Y,
E_A05_POLICY_ON_01,A05_자동_페널티,,,"E_A05_POLICY_ON_01 활성",system,TC-A05-006-BND,boundary,P2,Y,
E_A05_EXEMPT_YES_01,A05_자동_페널티,,,"E_A05_EXEMPT_YES_01 면제 해당",system,TC-A05-007-BND,boundary,P2,Y,
E_A05_EXEMPT_NO_01,A05_자동_페널티,,,"E_A05_EXEMPT_NO_01 면제 아님",system,TC-A05-008-BND,boundary,P2,Y,
E_A05_CALC_TXN_01,A05_자동_페널티,,,"E_A05_CALC_TXN_01",system,TC-A05-009-BND,boundary,P2,Y,
E_A05_CREATE_PENALTY_01,A05_자동_페널티,,,"E_A05_CREATE_PENALTY_01",system,TC-A05-010-BND,boundary,P2,Y,
E_PENALTY,A05_자동_페널티,,,"E_A05_UPDATE_RES_01",system,TC-A05-011-BND,boundary,P2,Y,
E_RES,A05_자동_페널티,,,"E_A05_DEDUCT_01",system,TC-A05-012-BND,boundary,P2,Y,
E_A05_DEDUCT_YES_01,A05_자동_페널티,,,"E_A05_DEDUCT_YES_01 차감",system,TC-A05-013-BND,boundary,P2,Y,
E_A05_DEDUCT_NO_01,A05_자동_페널티,,,"E_A05_DEDUCT_NO_01 미차감",system,TC-A05-014-BND,boundary,P2,Y,
E_A05_DEDUCT_OK_01,A05_자동_페널티,,,"E_A05_DEDUCT_OK_01",system,TC-A05-015-BND,boundary,P2,Y,
E_A05_COMMIT_OK_01,A05_자동_페널티,,,"E_A05_COMMIT_OK_01 성공",system,TC-A05-016-BND,boundary,P2,Y,
E_A05_COMMIT_FAIL_01,A05_자동_페널티,,,"E_A05_COMMIT_FAIL_01 실패",system,TC-A05-017-NEG,negative,P1,Y,
E_A05_NOTIFY_OK_01,A05_자동_페널티,,,"E_A05_NOTIFY_OK_01",system,TC-A05-018-BND,boundary,P2,Y,
E_A05_NOTIFY_FAIL_01,A05_자동_페널티,,,"E_A05_NOTIFY_FAIL_01",system,TC-A05-019-BND,boundary,P2,Y,
E_A05_NEXT_01,A05_자동_페널티,,,"E_A05_NEXT_01",system,TC-A05-020-BND,boundary,P2,Y,
E_A05_NEXT_YES_01,A05_자동_페널티,,,"E_A05_NEXT_YES_01",system,TC-A05-021-BND,boundary,P2,Y,
E_A05_NEXT_NO_01,A05_자동_페널티,,,"E_A05_NEXT_NO_01 완료",system,TC-A05-022-BND,boundary,P2,Y,
E_A06_CRON_TYPE_01,A06_주간월간_리포트,,,"E_A06_CRON_TYPE_01",system,TC-A06-001-BND,boundary,P2,Y,
E_A06_TYPE_WEEKLY_01,A06_주간월간_리포트,,,"E_A06_TYPE_WEEKLY_01 주간",system,TC-A06-002-BND,boundary,P2,Y,
E_A06_TYPE_MONTHLY_01,A06_주간월간_리포트,,,"E_A06_TYPE_MONTHLY_01 월간",system,TC-A06-003-BND,boundary,P2,Y,
E_A06_PERIOD_BRANCH_01,A06_주간월간_리포트,,,"E_A06_PERIOD_BRANCH_01",system,TC-A06-004-BND,boundary,P2,Y,
E_A06_BRANCH_LOOP_01,A06_주간월간_리포트,,,"E_A06_BRANCH_LOOP_01",system,TC-A06-005-BND,boundary,P2,Y,
E_A06_AGG_01,A06_주간월간_리포트,,,"E_A06_AGG_01",system,TC-A06-006-BND,boundary,P2,Y,
E_A06_AGG_OK_01,A06_주간월간_리포트,,,"E_A06_AGG_OK_01 성공",system,TC-A06-007-BND,boundary,P2,Y,
E_A06_AGG_FAIL_01,A06_주간월간_리포트,,,"E_A06_AGG_FAIL_01 실패",system,TC-A06-008-NEG,negative,P1,Y,
E_A06_RENDER_01,A06_주간월간_리포트,,,"E_A06_RENDER_01",system,TC-A06-009-BND,boundary,P2,Y,
E_A06_SAVE_01,A06_주간월간_리포트,,,"E_A06_SAVE_01",system,TC-A06-010-BND,boundary,P2,Y,
E_A06_SAVE_OK_01,A06_주간월간_리포트,,,"E_A06_SAVE_OK_01 성공",system,TC-A06-011-BND,boundary,P2,Y,
E_A06_SAVE_FAIL_01,A06_주간월간_리포트,,,"E_A06_SAVE_FAIL_01 실패",system,TC-A06-012-NEG,negative,P1,Y,
E_A06_NOTIFY_OK_01,A06_주간월간_리포트,,,"E_A06_NOTIFY_OK_01",system,TC-A06-013-BND,boundary,P2,Y,
E_A06_NOTIFY_FAIL_01,A06_주간월간_리포트,,,"E_A06_NOTIFY_FAIL_01",system,TC-A06-014-BND,boundary,P2,Y,
E_ERR,A06_주간월간_리포트,,,"E_A06_NEXT_01",system,TC-A06-015-BND,boundary,P2,Y,
E_A06_NEXT_YES_01,A06_주간월간_리포트,,,"E_A06_NEXT_YES_01",system,TC-A06-016-BND,boundary,P2,Y,
E_A06_NEXT_NO_01,A06_주간월간_리포트,,,"E_A06_NEXT_NO_01 완료",system,TC-A06-017-BND,boundary,P2,Y,
E_A06_ROLLUP_SEND_01,A06_주간월간_리포트,,,"E_A06_ROLLUP_SEND_01",system,TC-A06-018-BND,boundary,P2,Y,
E_A06_END_01,A06_주간월간_리포트,,,"E_A06_END_01",system,TC-A06-019-BND,boundary,P2,Y,
E_A07_CRON_QUERY_01,A07_선수익금_인식,,,"E_A07_CRON_QUERY_01",system,TC-A07-001-BND,boundary,P2,Y,
E_A07_QUERY_EMPTY_01,A07_선수익금_인식,,,"E_A07_QUERY_EMPTY_01 없음",system,TC-A07-002-NEG,negative,P1,Y,
E_A07_QUERY_FOUND_01,A07_선수익금_인식,,,"E_A07_QUERY_FOUND_01 있음",system,TC-A07-003-BND,boundary,P2,Y,
E_A07_SUMMARY_OK_01,A07_선수익금_인식,,,"E_A07_SUMMARY_OK_01",system,TC-A07-004-BND,boundary,P2,Y,
E_A07_LOOP_VALIDATE_01,A07_선수익금_인식,,,"E_A07_LOOP_VALIDATE_01",system,TC-A07-005-BND,boundary,P2,Y,
E_A07_VALID_FAIL_01,A07_선수익금_인식,,,"E_A07_VALID_FAIL_01 조건 불충족",system,TC-A07-006-BND,boundary,P2,Y,
E_A07_VALID_OK_01,A07_선수익금_인식,,,"E_A07_VALID_OK_01 충족",system,TC-A07-007-BND,boundary,P2,Y,
E_A07_CREATE_REV_01,A07_선수익금_인식,,,"E_A07_CREATE_REV_01",system,TC-A07-008-BND,boundary,P2,Y,
E_REV,A07_선수익금_인식,,,"E_A07_UPDATE_DEF_01",system,TC-A07-009-BND,boundary,P2,Y,
E_DEF,A07_선수익금_인식,,,"E_A07_COMMIT_01",system,TC-A07-010-BND,boundary,P2,Y,
