row	????	?????	???? ?? ??_26.05.19	?? ?? ??_26.05.20
97	HQ-01-01	전사 통합 KPI	기능리스트 상에서 7종 KPI 카드가 무엇인지 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 전사 통합 KPI 7종 카드는 전체 매출, 신규 회원, 활성 회원, 만료 임박, 미수금, 수업 예약, 출석/방문 현황 성격의 전사 요약 카드입니다. 본사 계정은 전 지점 합산, 지점 계정은 소속 지점 기준으로 봅니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-01-슈퍼대시보드/00-기본기능.md"
99	HQ-01-03	히스토리 로그	계약서에 슈퍼 대시보드의 히스토리 관련 내용은 없음. 히스토리가 대시보드의 필수 요소라고 볼 수도 없음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 히스토리 로그는 대시보드 운영 확인용 최근 변경 이력입니다. 회원/결제/이용권/수업/출석/권한/설정/백업·복원 변경의 발생 시각, 작업자, 작업 유형, 대상, 요약 문구를 표시하고 감사 로그로 이동합니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-01-슈퍼대시보드/00-기본기능.md"
105	HQ-02-02	상담 퍼널	계약서에 KPI 24종이 무엇인지 확인되지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 상담 퍼널은 KPI 24종 중 상담 지표 묶음입니다. 구성은 WI 문의, TI 문의, TI 방문 전환율, TI 등록률, WI 등록률입니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
106	HQ-02-03	재등록 KPI	계약서에 KPI 24종이 무엇인지 확인되지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 재등록 KPI는 KPI 24종 중 재등록 상담 지표입니다. 기본 구성은 재등록 상담 완료 건수와 재등록 성공률입니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
107	HQ-02-04	GX 세부 종목	계약서에 KPI 24종이 무엇인지 확인되지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. GX 세부 종목은 KPI 24종 안에서 GX 실적을 종목별로 나누어 보는 기준입니다. 기획 기준 종목은 요가, 필라테스, 스피닝, 줌바, 에어로빅, GX기타입니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
108	HQ-02-05	OT 운영	계약서에 KPI 24종이 무엇인지 확인되지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. OT 운영은 KPI 24종 중 OT 지표 묶음입니다. 강습 OT, 골프 OT, OT 등록 전환율, OT 거부율, OT 이월률, 체험 후 등록률을 봅니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
109	HQ-02-06	강습 세션 유형	계약서에 KPI 24종이 무엇인지 확인되지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 강습 세션 유형은 개인/소그룹 강습 실적 구분 기준입니다. 기획 기준은 PT, 필라테스, 스트레칭, 테라피 4종입니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
110	HQ-02-07	추이 차트	계약서에 KPI 24종이 무엇인지 확인되지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 추이 차트는 신규 KPI가 아니라 KPI 24종 전체 또는 주요 KPI의 기간별 변화를 보여주는 표시 방식입니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
111	HQ-02-08	지점별 비교	계약서, 기능리스트에서 지점별 4종 지표가 무엇인지 알 수 없음 	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 지점별 비교 4종 지표는 매출, 신규 회원, 활성 회원, 출석률입니다. 본사 계정은 지점별 비교, 지점 계정은 소속 지점 기준으로 제한됩니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-02-KPI대시보드/00-기본기능.md"
115	HQ-03-02	핵심 지표	기능리스트 LV3의 보드별 4종 지표가 무엇을 말하는지 알 수 없음	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 보드별 핵심 지표 4종은 각 보드의 운영 목적에 맞춘 요약 KPI입니다. 상담/재등록/OT/담당자/인사이트 보드에서 대상 수, 완료 수, 전환율, 미처리/위험 대상을 요약 표시합니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-03-KPI센터/00-기본기능.md"
117	HQ-03-04	액션 큐	고객사에게 정보를 전달 받으면 가능	"[기획 답변] 제로스트 의견처럼 고객사/판도 확정이 필요한 지점은 따로 구분합니다. 현재 기획 답변으로 정리할 수 있는 문서상 정의는 다음과 같습니다. 액션 큐는 상담/OT/재등록 후속조치 대상 목록입니다. 긴급/우선/일반/완료가능 우선순위로 정렬하며, FC 액션과 트레이너 액션을 구분합니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-03-KPI센터/00-기본기능.md"
119	HQ-03-06	재등록 파이프라인	계약서, 기능리스트 LV3 상으로는 만료 예정 액션이 뭔지 알 수 없으나 피드백 답변처럼 편하게 보기 위한 UI 기능 정도라면 수용 가능	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 재등록 파이프라인은 만료 예정/만료 회원의 재등록 상담 진행 상태를 담당자별로 보여주는 보드입니다. 만료 D-30, D-7, D-Day, D+1 단계와 상담/등록 상태를 관리합니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-03-KPI센터/00-기본기능.md"
120	HQ-03-07	담당자 성과	회원 한명에게 붙은 여러명의 직원들 중 누구의 성과로 처리할 것인지 등 성과 기준, 로직이 불분명하여 고객사에서 답장 준다고 하였음	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 담당자 성과는 직원별 상담·강습·매출 성과입니다. 트레이너는 OT 배정, 신규 매출, 재등록 매출, 등록 전환율, 체험 후 등록률을 보고 FC/골프 프로 지표도 분리합니다. 매출 귀속 기준은 결제의 인센티브 귀속자/담당자 기준으로 적용합니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-03-KPI센터/00-기본기능.md"
122	HQ-03-09	데이터 인사이트	고객사에서 애매한 내용을 정리해서 알려준다고 함	"[기획 답변] 제로스트 의견처럼 고객사/판도 확정이 필요한 지점은 따로 구분합니다. 현재 기획 답변으로 정리할 수 있는 문서상 정의는 다음과 같습니다. 데이터 인사이트는 AI 문장 생성이 아니라 기존 KPI/OT/상담 데이터를 사람이 해석하기 쉽게 요약하는 시스템 텍스트입니다. 성과 하락/상승 원인과 연결 액션을 최대 3개 노출합니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-03-KPI센터/00-기본기능.md"
128	HQ-04-04	수업 성과	계약서에 명시되지 않음. '인기 수업' 등 고객사에서 원하는 내용이 정확히 무엇인지 알 수 없음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 수업 성과는 지점 리포트 내 수업 운영 지표입니다. 인기 수업은 예약률, 출석률, 정원 대비 충원율, 반복 예약/재예약 흐름을 기준으로 판단하는 운영 지표입니다.
근거 문서: admin/기능명세서/D10-본사관리/HQ-04-지점리포트/00-기본기능.md"
132	MBR-01-01	요약 지표 카드 (4종)	계약서, 기획리스트 LV3 상에서 요약 지표카드 4종이 무엇인지 확인 불가	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 회원 목록 요약 카드 4종은 전체 회원, 활성 회원, 만료 임박, 이번 달 신규 회원입니다. 카드 클릭 시 해당 상태 필터가 자동 적용됩니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-01-회원목록/00-기본기능.md"
134	MBR-01-03	상태별 서브탭	계약서에 명시되지 않음. LV3에서도 6서브탭이 무엇이고, 카운트 배지가 어떤 식으로 이용되는 것인지 알 수 없음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 상태별 서브탭 6종은 전체, 활성, 만료, 미등록, 홀딩, 정지입니다. 카운트 배지는 각 상태에 해당하는 회원 수를 표시합니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-01-회원목록/00-기본기능.md"
135	MBR-01-04	통합 검색 (이름·연락처)	QR 기능은 계약서에 명시되지 않았고, LV3에 표시된 검색 기능에 QR을 붙이는 기능은 추가 기능으로 보임	"[기획 답변] 제로스트 의견의 계약 범위 이견과 구분해 답변드립니다. 기능 정의는 기획 문서 기준 다음과 같습니다. 통합 검색은 이름·연락처 기준 검색입니다. QR 검색을 필수 범위로 보지 않으며, QR 기반 검색/스캔은 별도 QR 기능 범위에서 판단합니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-01-회원목록/00-기본기능.md"
138	MBR-01-07	회원 목록 테이블	LV 3 상으로 보았을 때, 12개 컬럼이 무엇인지 확인 불가. 모바일 풀스크린 진입 항목도 있는데, 계약서는 PC Web만 되어 있고 모바일 반응형은 계약 범위 외임	"[기획 답변] 제로스트 의견의 계약 범위 이견과 구분해 답변드립니다. 기능 정의는 기획 문서 기준 다음과 같습니다. 회원 목록 테이블 12개 컬럼은 체크박스, 상태 배지, 회원번호, 회원명, 연락처, 성별/나이, 담당자, 보유 이용권, 만료일, 최근 방문일, 미수금, 액션입니다. 모바일 풀스크린은 PC Web 필수 범위가 아니며 반응형 확장 범위로 분리합니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-01-회원목록/00-기본기능.md"
144	MBR-01-13	세그먼트 자동 분류 표시	계약서에 없는 항목이고, LV 3 의 7종 세그먼트가 무엇인지 확인 불가	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 세그먼트 7종은 신규, 활성, 만료임박, 만료, 장기미방문, 이탈위험, VIP 성격의 자동 분류 표시입니다. 자동 산정 기준은 회원 상태·방문·만료·결제 이력 기반입니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-01-회원목록/00-기본기능.md"
161	MBR-03-08	저장 + 결제 진입	회원 등록 기능에서 결제 기능이 왜 필요한지 확인 필요	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 저장 + 결제 진입은 신규 회원 등록 후 즉시 상품 결제를 이어서 처리하는 단축 흐름입니다. 회원 등록과 결제가 강결합된 것이 아니라, 저장 완료 후 POS/결제 화면으로 이동하는 CTA입니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-03-회원등록수정/00-기본기능.md"
167	MBR-ADV-02-02	체크리스트 자동 점검	MBR-ADV-02 이관 기능에 체크리스트 자동 점검과 관련된 내용은 명시되지 않음 	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 체크리스트 자동 점검은 회원 이관 전 미수금, 홀딩, 잔여 이용권, 예약/대기, 락커/물품, 담당자 메모 등 이관 리스크를 사전 확인하는 기능입니다.
근거 문서: admin/기능명세서/D02-회원관리/MBR-ADV-02-회원이관/00-기본기능.md"
180	CLS-10-01	프로그램 목록	LV3상에서 7개 컬럼 내용이 무엇인지 알 수 없음	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 프로그램 목록 7개 컬럼은 프로그램명, 목적/분류, 난이도, 동작 수, 배정 회원 수, 담당 트레이너, 상태/액션입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-10-운동프로그램관리/00-기본기능.md"
182	CLS-10-03	동작 구성	동작 구성을 단순 텍스트 또는 드롭다운 등으로 입력하는 형식이라면 수용 가능	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 동작 구성은 프로그램 안에 운동 동작을 순서대로 구성하는 입력 영역입니다. 동작명, 세트/횟수/시간, 휴식, 메모를 텍스트 또는 선택값으로 입력합니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-10-운동프로그램관리/00-기본기능.md"
225	CRM-01-02	상태 분포	기본 필터 역할이면 수용 가능. 고객사에서 제시한 기능리스트에는 7종 카드가 무엇인지 정의 안됨	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 상태 분포 7종은 신규, 연락중, 방문예약, 방문완료, 등록완료, 보류, 실패/종료 단계입니다. 기본 필터 겸 칸반 컬럼으로 사용합니다.
근거 문서: admin/기능명세서/D08-마케팅/CRM-01-리드관리/00-기본기능.md"
265	PRD-EXT-02-07	판매 현황	계약서에 없는 기획코드	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 판매 현황은 상품 상세 패널에서 해당 상품의 판매 건수, 매출, 보유 회원, 만료 임박 회원 등 상품 단위 운영 현황을 보는 영역입니다. 상품 관리의 상세 조회 성격이며 신규 독립 모듈은 아닙니다.
근거 문서: admin/기능명세서/D05-상품관리/PRD-EXT-02-상품상세패널/00-기본기능.md"
270	RSV-01-01	요약 카드	5종 카드 카운터가 무엇인지 확인 후 가능	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 예약 목록 요약 카드 5종은 전체 예약, 예약 완료, 출석 완료, 취소·노쇼, 대기입니다.
근거 문서: admin/기능명세서/D04-수업관리/RSV-01-예약목록/00-기본기능.md"
277	RSV-01-08	본사 통합 모드	전 지점 예약 통합 뷰는 멀티센터 쿼리/UI 별도 구현 필요	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 본사 통합 모드는 전 지점 예약을 한 화면에서 조회하는 확장 기능입니다. 온핏/브로제이에 없는 경우 V1.0 범위에서는 제외하고 후속 협의 대상으로 봅니다.
근거 문서: admin/기능명세서/D04-수업관리/RSV-01-예약목록/00-기본기능.md"
280	CLS-01-02	필터 바	분류 멀티필터7종, 세션유형 멀티핀터4종이 무엇인지 확인 불가 	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 분류 멀티필터 7종은 PT, GX, 필라테스, 골프, OT, 상담, 기타입니다. 세션 유형 4종은 PT, 필라테스, 스트레칭, 테라피입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-01-수업캘린더/00-기본기능.md"
285	CLS-01-07	미승인 일정	기능리스트의 건수 배지가 무엇인지 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 미승인 일정의 건수 배지는 승인되지 않은 일정 수를 상단 경고 배너와 탭에 표시하는 카운트입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-01-수업캘린더/00-기본기능.md"
289	CLS-02-01	필터 바	기능리스트의 세션 유형(4종)이 무엇인지 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 필터 바의 세션 유형 4종은 PT, 필라테스, 스트레칭, 테라피입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-02-수업관리/00-기본기능.md"
290	CLS-02-02	상태 필터	상태 카운트 배지가 구체적인 내용 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 상태 필터와 카운트 배지는 예정, 진행중, 완료, 취소, 노쇼 등 수업 상태별 건수를 표시하고 목록을 좁히는 기능입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-02-수업관리/00-기본기능.md"
316	CLS-02	수업 관리 (목록 기반 정밀 관리)	기획 내용과 기능 내용이 다름	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. CLS-02는 드래그앤드롭 캘린더가 아니라 목록 기반 정밀 관리 화면입니다. 수업 1건을 1행으로 보고 수업명, 유형, 세션 유형, 강사, 장소, 일시, 예약 현황, 상태, 출석/노쇼를 관리합니다. DnD/리사이즈는 CLS-01 캘린더 범위입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-02-수업관리/00-기본기능.md"
318	CLS-03	시간표 일괄 등록 (반복 일정 대량 생성)	기획 내용과 기능 내용이 다름	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. CLS-03은 색상 체계 기능이 아니라 시간표 일괄 등록입니다. 기간, 요일, 시간, 템플릿, 강사, 장소, 정원, 예외 날짜를 입력해 반복 일정을 신규 생성합니다. 색상 체계는 CLS-01/CLS-04 표시 규칙입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-03-시간표일괄등록/00-기본기능.md"
329	CLS-02	수업 관리 (목록 기반 정밀 관리)	목록 기반 관리를 어떤 식으로 하는건지 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. CLS-02는 드래그앤드롭 캘린더가 아니라 목록 기반 정밀 관리 화면입니다. 수업 1건을 1행으로 보고 수업명, 유형, 세션 유형, 강사, 장소, 일시, 예약 현황, 상태, 출석/노쇼를 관리합니다. DnD/리사이즈는 CLS-01 캘린더 범위입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-02-수업관리/00-기본기능.md"
350	CLS-06-03	강사 목록	세션 유형 분포(4종)이 무엇인지 알 수 없음	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 강사 목록의 세션 유형 분포 4종은 PT, 필라테스, 스트레칭, 테라피입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-06-강사근무현황/00-기본기능.md"
357	CLS-09-01	요청 목록	8개 컬럼, 요청 유형 배지, 처리 상태 배지가 무엇인지 알 수 없음	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 요청 목록 8개 컬럼은 요청일시, 요청자, 요청 유형, 대상 수업/일정, 요청 내용, 처리 상태, 담당자, 액션입니다. 요청 유형 배지는 등록/변경/취소 등이고 처리 상태 배지는 대기/승인/반려/처리완료입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-09-일정요청처리/00-기본기능.md"
362	CLS-09-06	미처리 알림	계약서에 명시 되지 않은 내용. 탭 배지 건수가 뭔지 알 수 없고 대시보드 알림이라는게 어떤 대시보드에 나타내는건지 정해지지 않음	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 미처리 알림은 일정 요청 중 대기 상태 건수를 탭 배지로 표시하고 Today Tasks 또는 관리자 대시보드 액션 영역에 노출하는 기능입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-09-일정요청처리/00-기본기능.md"
366	CLS-07-02	회원 목록	8개 컬럼, 만료 임박 배지가 무엇인지 알 수 없지만 특별히 범위에서 벗어나지 않는다면 무상 포함 가능	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 회원 목록 8개 컬럼은 회원명, 연락처, 상품/이용권, 총 횟수, 사용 횟수, 잔여 횟수, 만료일, 상태/액션입니다. 만료 임박 배지는 만료일 기준 임박 상태를 강조 표시합니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-07-횟수관리/00-기본기능.md"
376	CLS-08-05	자동 페널티 정책	고객사 측에서 판단 기준을 전달 받아야 함. 제로스트 측에서 자의적으로 작성하라고 한다면 불가능	"[기획 답변] 제로스트 의견처럼 운영 정책값은 고객사/판도 확정이 필요합니다. 개발사가 임의로 정할 사항은 아니며, 기획 기준의 의미는 다음과 같습니다. 자동 페널티 정책은 노쇼/늦은 취소 발생 시 페널티를 자동 부과할지 여부와 부과 기준을 설정하는 영역입니다. 기본값은 운영 정책 확정 후 적용합니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-08-페널티관리/00-기본기능.md"
377	CLS-08-06	늦은 취소 기준	고객사 측에서 판단 기준을 전달 받아야 함. 제로스트 측에서 자의적으로 작성하라고 한다면 불가능	"[기획 답변] 제로스트 의견처럼 운영 정책값은 고객사/판도 확정이 필요합니다. 개발사가 임의로 정할 사항은 아니며, 기획 기준의 의미는 다음과 같습니다. 늦은 취소 기준은 수업 시작 전 몇 시간 이내 취소를 페널티 대상으로 볼지 정하는 정책값입니다. 기본 후보는 수업 시작 3시간/6시간/12시간 전 기준입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-08-페널티관리/00-기본기능.md"
378	CLS-08-07	페널티 내용	고객사 측에서 판단 기준을 전달 받아야 함. 제로스트 측에서 자의적으로 작성하라고 한다면 불가능	"[기획 답변] 제로스트 의견처럼 운영 정책값은 고객사/판도 확정이 필요합니다. 개발사가 임의로 정할 사항은 아니며, 기획 기준의 의미는 다음과 같습니다. 페널티 내용은 예약 제한, 횟수 차감, 경고 누적 등으로 정의합니다. 실제 적용 강도는 고객사 운영 정책 확정값을 적용합니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-08-페널티관리/00-기본기능.md"
