매출관리 & CRM Health - 신규고객 유치/관리 & 기존고객관리는 잘되고 있는가?,,,,,,,,,,
,,,,,,,,,,
"단계별 
핵심지표",KPI,계산식,목표값,Input Data,Input Data 생성방법,의미,"직원 수준 
(FC/트레이너/GX·필라테스)",지점 수준,본사 수준,상향 관계 설명
,리드 누락률,(누락 리드 / 전체 리드) × 100,3%↓,"1. 누락 리드 데이터
2. 전체 리드 데이터",1. 시스템에 저장된 관련 Data를 가져온다,CRM 자동화 필요성,FC: 리드 응대 시간 (24시간 이내),누락률 추이,"전체 리드 누락률 
/ 손실 매출 추정",FC 응대 ↑ → 지점 누락 ↓ → 본사 잠재 매출 보호.
신규 안정 (Activation),초기 7일 이용률,(7일 내 2회↑ 방문 / 신규회원) × 100,70%↑,"1. 7일 내 2회↑ 방문 데이터
2. 신규회원 데이터","1. 직원 앱(FC)에서 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다",초기 정착 지표,"FC: 7일 체크인 콜 완료율
 / 트레이너: PT 체험 참여율 (70%↑)
 / GX: 첫 GX 참여율",7일 안착률 (65%↑),지점별 안착률 평균 / 초기 이탈률 (15%↓),"GX 참여 ↑ → 트레이너 PT 체험 ↑ → 지점 안착 ↑
 → 본사 유지율 향상. 배지 지급으로 초기 동기부여."
,첫주 PT 체험 참여율,(PT 체험 완료 / 신규회원) × 100,70-80%,"1. PT 체험 완료 데이터
2. 신규회원 데이터",1. 시스템에 저장된 관련 Data를 가져온다,PT 전환 첫 단계,트레이너: PT 세션 수 / 완강률 (85%↑),PT 체험율 / 만족도 (4.0↑),전체 PT 전환율 (28%↑),트레이너 세션 ↑ → 지점 PT 매출 ↑ → 본사 LTV ↑.
,초기 30일 이탈률,(30일 내 이탈 / 신규회원) × 100,10-15%↓,"1. 30일 내 이탈 데이터
2. 신규회원 데이터",1. 회원권 만료 후 재등록하지 않은 회원을 시스템이 자동으로 집계하여 이탈로 처리된 Data를 가져온다,적응 실패 측정,"FC: 온보딩 설문 응답율 
/ GX: 휴강률 (3%↓)",30일 이탈률 추이,코호트별 이탈 분석,GX 휴강 ↓ → 지점 이탈 ↓ → 본사 Churn Saved Value ↑.
,GX 첫 참여 비율,(GX 참여 / 신규회원) × 100,20%↑,"1. GX 참여 데이터
2. 신규회원 데이터",1. 시스템에 저장된 관련 Data를 가져온다,프로그램 다양성,"GX: 클래스 출석률 (80%↑) 
/ 재참여율 (65%↑)",GX 참여율 / 커뮤니티 형성,전체 GX 기여율,GX 출석 ↑ → 지점 참여 ↑ → 본사 NPS ↑.
,첫 30일 만족도,5점 척도 평균,4.0↑,1. 첫 30일 만족도 데이터,1. 시스템에 저장된 관련 Data를 가져온다,초기 만족 측정,"FC: 설문 미응답 재발송율 
/ 트레이너: 만족도 (4.0↑)",설문 응답률 / 개선 사항 분석,지점별 NPS (40점↑),트레이너 만족 ↑ → 지점 설문 ↑ → 본사 브랜드 충성도 ↑.
충성고객 성장 (Engagement),활성회원 비중,(활성회원 / 총 회원) × 100,40-45%↑,"1. 활성회원 데이터
2. 총 회원 데이터",1. 시스템에 저장된 관련 Data를 가져온다,핵심 자산 규모,"FC: 출석 관리 연락율 (90%↑) 
/ GX: 클래스당 인원",활성 비중 / 방문 빈도 (10-12회),지점별 활성 랭킹 / 전체 출석률 (25%↑),"GX 인원 ↑ → 지점 방문 ↑ → 본사 수익 안정성 ↑. 
배지 누적량으로 참여 유도."
,월 방문 빈도,월 총 방문 / 활성회원 수,10-12회,"1. 월 총 방문 데이터
2. 활성회원 수 데이터","1. 직원 앱(FC)에서 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다",몰입도 측정,"트레이너: 노쇼율 (5%↓)
 / GX: 재참여율 (65%↑)",빈도별 재등록률 분석,업계 벤치마크 비교,트레이너 노쇼 ↓ → 지점 빈도 ↑ → 본사 LTV 상관 ↑.
,GX 참여율,(GX 참여 회원 / 총 회원) × 100,20-30%↑,"1. GX 참여 회원 데이터
2. 총 회원 데이터",1. 시스템에 저장된 관련 Data를 가져온다,프로그램 활용도,GX: 만족도 (4.0↑) / 신규 유입,GX 참여율 / 커뮤니티 지표,전체 GX 효과 분석,GX 만족 ↑ → 지점 참여 ↑ → 본사 커뮤니티 형성 ↑.
,"회복존/사우나 
이용률",(시설 이용자 / 총 회원) × 100,20%↑,"1. 시설 이용자 데이터
2. 총 회원 데이터","1. 직원이 점검 체크리스트를 통해 입력하여 저장된 Data를 가져온다
2. 회원 앱 설문을 통해 수집된 시설 평가 Data를 가져온다",웰니스 효과,"FC: 이용 유도 TM율 
/ 트레이너: 리커버리 추천율",이용률 / 재등록 효과 (73%),투자 효과 가시화,트레이너 추천 ↑ → 지점 이용 ↑ → 본사 차별화 강화.
,NPS (추천지수),(Promoter % - Detractor %) × 100,40-60점↑,"1. Promoter % 데이터
2. Detractor % 데이터",1. 시스템에 저장된 관련 Data를 가져온다,브랜드 충성도,"FC: 피드백 입력율 (90%↑) 
/ GX: NPS 설문율",분기 NPS / 지인 추천율,"전체 NPS 
/ 구전 효과 예측","GX NPS ↑ → 지점 추천 ↑ → 본사 장기 성장 ↑. 
Loyalty Score 반영."
재구매 & LTV (Renewal),재등록률,(재등록 / 만료회원) × 100,45-55%↑,"1. 회원권 만료 데이터
2. 재등록/재구매 데이터","1. 회원 계약 시 저장된 만료일을 기준으로 시스템이 자동 계산하여 만료 예정 회원을 집계한 Data를 가져온다
2. 재등록 또는 재구매 계약 시 저장된 Data를 가져온다",반복 구매 지표,"FC: 재등록 전환율 (50%↑) 
/ 트레이너: PT 재구매율 (30%↑)",재등록률 / 만기 관리율,지점별 재등록 랭킹 / LTV 보호,"트레이너 재구매 ↑ → 지점 재등록 ↑ → 본사 매출 안정 ↑.
 LTV Score 연동."
,PT 재구매율,(재구매 / 완강회원) × 100,30-40%↑,"1. 회원권 만료 데이터
2. 재등록/재구매 데이터","1. 회원 계약 시 저장된 만료일을 기준으로 시스템이 자동 계산하여 만료 예정 회원을 집계한 Data를 가져온다
2. 재등록 또는 재구매 계약 시 저장된 Data를 가져온다",PT 만족도,"트레이너: 재구매율 (30%↑) 
/ 만족도 (4.0↑)",PT 매출 기여 / 완강률 (85%↑),전체 PT LTV,트레이너 만족 ↑ → 지점 PT 매출 ↑ → 본사 추가 수익 ↑.
,유지율 (Retention),((전월회원 - 이탈) / 전월회원) × 100,85-90%↑,"1. 이탈 회원 데이터
2. 전월회원 데이터",1. 회원권 만료 후 재등록하지 않은 회원을 시스템이 자동으로 집계하여 이탈로 처리된 Data를 가져온다,유지 능력,"FC: AT-RISK TM율 
/ GX: 휴강률 (3%↓)",유지율 / 이탈률 (5%↓),코호트별 유지 분석,GX 휴강 ↓ → 지점 유지 ↑ → 본사 수익 안정 ↑.
,LTV (생애가치),객단가 × 구매횟수 × 유지기간,세그먼트별 목표,"1. 객단가
2. 구매횟수 
3. 유지기간",1. 시스템에 저장된 관련 Data를 가져온다,경제적 가치,"트레이너: 1인당 매출 
/ FC: 업셀율",지점 LTV 평균 / 세그먼트 분석,전체 LTV / 코호트 분석,"FC 업셀 ↑ → 지점 LTV ↑ → 본사 마케팅 ROI ↑. 
배지·포인트로 LTV 자연 상승."
,이탈률 (Churn),(이탈 / 전체 회원) × 100,3-5%↓,"1. 이탈 회원 데이터
2. 전체 회원 데이터",1. 회원권 만료 후 재등록하지 않은 회원을 시스템이 자동으로 집계하여 이탈로 처리된 Data를 가져온다,품질 문제 감지,"FC: 이탈 TM 완료율 
/ 트레이너: 노쇼 관리",이탈률 추이 / 원인 분석,전체 이탈률 / 손실 매출 추정,트레이너 노쇼 ↓ → 지점 이탈 ↓ → 본사 Churn Saved Value ↑.
