8,,자동알림(이탈위험) 트리거,자동알림(이탈위험) 진행률,(실행된 자동알림수(이탈위험)/ 접수된 자동알림수(이탈위험)) × 100,간접 영향,"1. 실행된 자동알림수(이탈위험)
2. 접수된 자동알림수(이탈위험)","1. 시스템에 저장된 관련 Data를 가져온다
   : 실행된 자동알림수(이탈위험)
   : 접수된 자동알림수(이탈위험)","이탈 위험군 감소(Churn↓),재등록 증가(RR↑)를 위해 회원 행동 데이터 기반 자동 알림(Trigger)을 운영한다.",,,,,
9,,프로그램별 이용률 대시보드,월 매출 목표 달성률 (Branch Manager),(실제 월 매출 / 목표 월 매출) × 100,간접 영향,"1. 실제 월매출 데이터
2. 목표 월매출 데이터",1. 회원 계약/등록 시 결제 정보가 저장된 Data를 가져온다,PT/GX/필라테스 이용률 실시간 대시보드로 매니저가 저조한 프로그램 즉각 개선. 프로그램 매출 최적화로 월 목표 달성,"PT, GX, 필라테스 등 프로그램별 이용률과 매출을 실시간 대시보드로 시각화하여 매니저가 저조한 프로그램을 즉각 파악하고 개선 액션을 취할 수 있도록 지원합니다.","프로그램 매출 +25%, 
월 목표 달성률 100%+","지점 매니저가 프로그램별 이용률 대시보드를 주간 1회 이상 확인하고, 저조한 프로그램에 대한 개선 액션을 취했는지, 월 매출 목표 100%를 달성했는지를 평가합니다.",프로그램 이용 데이터 → 실시간 집계 → 대시보드 → 개선 액션 → 매출 측정,0.84
10,2) 직원 스케줄·업무일지·미션,AI 기반 Today Tasks 자동 생성,TM 완료율 (FC),(완료된 Tasks 수 / 전체 할당된 Tasks 수) × 100,직접 영향,1. Tasks 데이터,1. AI가 자동 생성한 Today Tasks 목록과 직원 앱에서 완료 처리된 Data를 가져온다,CRM 데이터 기반으로 FC별 Today Tasks를 우선순위와 함께 자동 생성. 누락 방지 및 효율적 업무 배분으로 TM 완료율 90%+ 달성,"CRM 데이터를 AI가 분석하여 FC/트레이너(직원)별로 우선순위가 높은 Today Tasks(One-Line, 상담, TM 콜, 재등록 안내 등)를 자동 생성하고, FC/트레이너(직원) 앱에 실시간으로 푸시합니다.","TM 완료율 90%+, 
리드 누락률 3% 이하"," FC/트레이너(직원)가 Today Tasks를 당일 90% 이상 완료했는지, 우선순위가 높은 업무를 먼저 처리했는지, 리드 누락률 3% 이하를 달성했는지를 평가합니다.",CRM 데이터 → AI 분석 → Today Tasks 생성 → FC 앱 알림 → 완료율 측정,0.85
11,,One-Line Daily Mission (DM),One-Line DM 달성율,(완료된 One-Line DM 수 / 할당된 One-Line DM 수) × 100,직접 영향,1. Tasks 데이터,1. AI가 자동 생성한 One-Line DM 목록과 직원 앱에서 완료 처리된 Data를 가져온다,,"CRM 데이터를 AI가 분석하여 FC/트레이너(직원)별로 우선순위가 높은 One-Line DM를 자동 생성하고, FC/트레이너(직원)앱에 실시간으로 푸시합니다.",," FC/트레이너(직원)가 One-Line DM를 당일 90% 이상 완료했는지, 우선순위가 높은 업무를 먼저 처리했는지, 달성했는지를 평가합니다.",,
12,,스케줄 자동 최적화,직원 평균 KPI 달성률 (Branch Manager),Σ(개별 직원 KPI 달성률) / 직원 수,직접 영향,"1. Σ(개별 직원 KPI 달성률) 
2. 직원 수","1. CRM 시스템에 저장된 개별 직원 KPI 달성률 합계 Data를 가져온다
2. 직원 수 Data를 가져온다",직원별 능력/업무량 고려한 AI 스케줄 최적화. 과부하 방지 및 효율적 인력 배치로 직원 평균 KPI 85%+ 달성,"직원별 능력, 업무량, 근무 선호도를 AI가 분석하여 최적의 근무 스케줄을 자동 생성하고, 과부하를 방지하며 효율적인 인력 배치를 지원합니다.","직원 KPI 달성률 85%+, 
근무 만족도 +30%","지점 매니저가 AI 스케줄 최적화 결과를 반영하여 직원을 배치했는지, 직원별 KPI 달성률이 85% 이상인지, 직원 근무 만족도가 향상되었는지를 평가합니다.",직원 능력 데이터 → 업무량 분석 → AI 스케줄 생성 → 배치 최적화 → KPI 달성률 측정,0.86
13,,업무일지 자동 생성 및 분석,Today Tasks 완료율 (Branch Manager),(완료 Tasks / 전체 Tasks) × 100,직접 영향,1. Tasks 데이터,1. AI가 자동 생성한 Today Tasks 목록과 직원 앱에서 완료 처리된 Data를 가져온다,직원 업무일지 자동 생성 및 완료 여부 실시간 추적. 매니저가 미완료 Tasks 즉각 확인 및 지원으로 완료율 90%+ 달성,"직원이 완료한 업무를 자동으로 기록하여 업무일지를 생성하고, 매니저가 미완료 Tasks를 실시간으로 확인하여 즉각 지원할 수 있도록 대시보드에 표시합니다.","Today Tasks 완료율 90%+, 
매니저 관리 시간 40% 절감","지점 매니저가 업무일지 대시보드를 일 2회 이상 확인하고, 미완료 Tasks에 대해 즉각 지원을 제공했는지, 전체 완료율 90% 이상을 달성했는지를 평가합니다.",업무 실행 → 자동 일지 생성 → 완료 추적 → 매니저 대시보드 → 완료율 측정,0.82
,,미션 기반 성과 측정 - 뱃지와 연동,,,,,,,,,,,
14,,미션 기반 성과 측정,직원 생산성 지수 (HQ),(직원 1인당 담당 회원 수 × 평균 회원 ARPU) / 직원 1인당 인건비,직접 영향,"1. 직원 1인당 담당 회원 수
2. 직원의 평균 회원 ARPU
3. 인건비 데이터","1. CRM 시스템에 저장된 직원-회원 매칭 Data를 가져온다
  :  직원 1인당 담당 회원 수, 평균 회원 ARPU
2. 본사 인사/재무 시스템에 저장된 직원 급여 Data를 가져온다",직원별 미션 완료도 및 성과를 자동 측정. 데이터 기반 평가로 생산성 +150% 달성 및 인센티브 최적화,"직원별로 할당된 미션의 완료도와 성과를 자동 측정하고, 데이터 기반 평가를 통해 생산성 지수를 산출하여 인센티브 산정에 활용합니다.","직원 생산성 +150%, 
인건비 대비 매출 +40%","본사가 미션 기반 성과 측정 데이터를 월 1회 이상 분석하고, 저성과 직원에 대한 교육·지원 계획을 수립했는지, 직원 생산성 지수 150% 이상을 달성했는지를 평가합니다.",미션 할당 → 완료 추적 → 성과 측정 → 생산성 지수 산출,0.89
15,,실시간 업무 부하 모니터링,평균 출석률 (Branch Manager),전체 주간 출석 횟수 / 전체 회원 수,간접 영향,"1. 전체 주간 출석 횟수
2. 전체 회원 수",1. 회원이 출석할 때 QR code 입력 또는 얼굴인식 입력하여 저장된 Data를 가져온다,직원 업무 부하 실시간 모니터링으로 과부하 시 즉각 인력 재배치. 회원 응대 품질 유지로 출석률 3회/주+ 달성,"직원의 업무 부하를 실시간으로 모니터링하고, 과부하 감지 시 매니저에게 알림을 발송하여 인력을 즉각 재배치할 수 있도록 지원합니다.","평균 출석률 3회/주+, 
회원 응대 만족도 +25%","지점 매니저가 실시간 업무 부하 모니터링 결과를 확인하고, 과부하 시 인력을 즉각 재배치했는지, 회원 평균 출석률 3회/주 이상을 달성했는지를 평가합니다.",업무 부하 데이터 → 실시간 모니터링 → 인력 재배치 → 응대 품질 → 출석률 측정,0.78
16,"3) 시설·리커버리·오프라인 운영

장비 고장 자동감지는 
별도 장비가 필요함",시설 점검 체크리스트 자동화,시설 청결도 점수 (Branch Manager),(회원 평가 점수 × 0.6 + 점검 체크리스트 점수 × 0.4),직접 영향,"1. 시설 점검 데이터
2. 회원 평가 데이터","1. 직원이 점검 체크리스트를 통해 입력하여 저장된 Data를 가져온다
2. 회원 앱 설문을 통해 수집된 시설 평가 Data를 가져온다",일일 시설 점검 체크리스트 자동 생성 및 완료 추적. 누락 없는 관리로 청결도 4.5/5.0+ 달성,"일일 시설 점검 항목(청결, 장비 상태, 안전 등)을 자동으로 생성하고, 직원이 체크리스트를 완료하면 실시간으로 추적하여 누락을 방지합니다.","시설 청결도 4.5+, 
점검 완료율 95%+","지점 매니저가 시설 점검 체크리스트를 일일 95% 이상 완료하도록 관리했는지, 청결도 점수 4.5/5.0 이상을 달성했는지를 평가합니다.",점검 항목 자동 생성 → 직원 체크 → 완료 추적 → 청결도 평가,0.82
17,,QR 출입 관리 시스템,활성 회원 비율 (Branch Manager),(활성 회원 수 / 전체 회원 수) × 100,직접 영향,"1. 활성 회원 수
2. 전체 회원 수",1. 시스템에 저장된 관련 Data를 가져온다,QR 출입으로 회원 출석 데이터 실시간 수집. 미출석 회원 자동 감지 및 알림으로 활성 회원 70%+ 유지,"QR 코드 스캔으로 회원 출입을 자동 기록하고, 출석 데이터를 실시간으로 수집하여 미출석 회원을 자동 감지하고 알림을 발송합니다.","활성 회원 비율 70%+, 
출석 데이터 정확도 99%+","지점 매니저가 QR 출입 데이터를 주간 1회 이상 확인하고, 미출석 회원에게 자동 알림 후 추가 조치를 취했는지, 활성 회원 비율 70% 이상을 달성했는지를 평가합니다.",QR 출입 → 실시간 출석 기록 → 미출석 감지 → 자동 알림 → 활성 비율 측정,0.85
18,,리커버리 존 이용 추적,회원 만족도 (PT Trainer),평균 만족도 점수 = Σ(개별 평가 점수) / 평가 응답 수,간접 영향,1. 만족도 평가 데이터,1. 회원 앱 또는 자동 설문을 통해 수집된 평가 점수 Data를 가져온다,사우나/마사지 등 리커버리 존 이용 추적으로 회원 만족도 향상. PT 종합 만족도 4.0/5.0+ 달성에 기여,"사우나, 마사지 등 리커버리 존 이용 내역을 자동 추적하고, 회원 만족도 조사와 연계하여 PT 종합 서비스 품질 향상에 기여합니다.","회원 만족도 4.0+, 
리커버리 존 이용률 60%+","PT 트레이너가 리커버리 존 이용 데이터와 만족도 조사 결과를 확인하고, 회원 만족도 4.0/5.0 이상을 유지했는지, 불만 사항에 대한 즉각 대응을 했는지를 평가합니다.",리커버리 존 이용 → 데이터 수집 → 만족도 조사 → 만족도 측정,0.75
19,,장비 고장 자동 감지 및 신고,NPS (Branch Manager),(추천 의향 비율 9-10점 - 비추천 의향 비율 0-6점) × 100,간접 영향,1. 계산식 관련 데이터,1. 시스템에 저장된 관련 Data를 가져온다,운동 장비 고장 자동 감지 및 즉각 수리 요청. 시설 다운타임 최소화로 NPS 40+ 달성,"운동 장비에 설치된 센서가 고장을 자동 감지하고, 즉시 관리 시스템에 신고하여 수리 프로세스를 시작하며 회원 불편을 최소화합니다.","NPS 40+, 
장비 다운타임 -60%","지점 매니저가 장비 고장 신고를 받은 후 24시간 이내에 수리를 완료했는지, NPS 40 이상을 달성했는지, 장비 다운타임을 60% 이상 감소시켰는지를 평가합니다.",장비 센서 → 고장 감지 → 자동 신고 → 즉각 수리 → NPS 측정,0.78
20,,오프라인 운영 데이터 통합,영업이익률 (Branch Manager),(영업이익 / 매출) × 100,직접 영향,"1. 매출 데이터
2. 영업이익",1. 실제 매출 및 영업이익 데이터의 계산디고 저장된 Data를 가져온다,시설 운영 비용(전기/수도/수리) 실시간 추적 및 최적화. 불필요한 지출 30% 절감으로 영업이익률 30%+ 달성,"전기, 수도, 수리비 등 시설 운영 비용 데이터를 실시간으로 통합 추적하고, AI가 비용 최적화 제안을 제공하여 불필요한 지출을 절감합니다.","영업이익률 30%+, 
운영비 -30%","지점 매니저가 오프라인 운영 데이터를 월 1회 이상 분석하고, AI 비용 최적화 제안을 실행했는지, 영업이익률 30% 이상을 달성했는지, 운영비를 30% 이상 절감했는지를 평가합니다.",운영 비용 데이터 → 실시간 추적 → 최적화 제안 → 비용 절감 → 이익률 측정,0.84
21,"4) AI 상담·세일즈북·자동 레코딩

여기서 AI는 6개월이상은 Rule base임
DB가 축적된이후 생성형 AI",AI 상담 스크립트 실시간 추천,신규 상담 전환율 (FC),(등록 회원 수 / 상담 진행 회원 수) × 100,직접 영향,"1. 상담 진행 데이터
2. 등록 회원 데이터","1. 직원 앱(FC)에서 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다",회원 프로필 분석 기반 AI 맞춤 상담 스크립트 실시간 제공. FC 상담 품질 향상으로 전환율 35%+ 달성,"회원의 프로필(연령, 운동 목표, 과거 이력)을 AI가 분석하여 FC에게 맞춤 상담 스크립트를 실시간으로 제공하고, 상담 품질과 전환율을 향상시킵니다.","신규 전환율 35%+, 
상담 시간 25% 단축","FC가 AI 상담 스크립트를 90% 이상 활용했는지, 신규 상담 전환율 35% 이상을 달성했는지, 상담 시간을 25% 단축했는지를 평가합니다.",회원 프로필 → AI 분석 → 맞춤 스크립트 생성 → FC 앱 표시 → 전환율 측정,0.82
22,,상담 자동 녹음 및 요약,리드 누락률 (FC),(미처리 리드 수 / 전체 리드 수) × 100,직접 영향,"1. 누락 리드 데이터
2. 전체 리드 데이터",1. 시스템에 저장된 관련 Data를 가져온다,모든 상담 자동 녹음 및 AI 요약으로 상담 내용 100% 기록. 후속 조치 누락 방지로 리드 누락률 3% 이하 달성,"모든 상담을 자동 녹음하고, AI가 핵심 내용을 요약하여 CRM에 자동 기록함으로써 상담 내용 누락을 방지하고 후속 조치를 지원합니다.","리드 누락률 3% 이하, 
상담 기록 정확도 99%+","FC가 상담 자동 녹음 및 요약 데이터를 확인하고, 모든 상담에 대한 후속 조치를 3일 이내에 완료했는지, 리드 누락률 3% 이하를 달성했는지를 평가합니다.",상담 진행 → 자동 녹음 → AI 요약 생성 → CRM 자동 기록 → 누락률 측정,0.78
23,,AI 기반 재등록 타이밍 최적화,재등록 전환율 (FC),(재등록 회원 수 / 만료 예정 회원 수) × 100,직접 영향,"1. 회원권 만료예정 데이터
2. 재등록/재구매 데이터","1. 회원 계약 시 저장된 만료일을 기준으로 시스템이 자동 계산하여 만료 예정 회원 (30일이내)을 집계한 Data를 가져온다
2. 재등록 또는 재구매 계약 시 저장된 Data를 가져온다",회원별 최적 재등록 타이밍을 AI가 예측하여 FC에게 알림. 정확한 타이밍 접촉으로 재등록율 50%+ 달성,"회원의 이용 패턴, 출석률, 과거 재등록 이력을 AI가 분석하여 최적의 재등록 상담 타이밍을 예측하고, FC에게 알림을 발송합니다.","재등록율 50%+, 
재등록 상담 성공률 +40%","FC가 AI 재등록 타이밍 알림을 받은 후 24시간 이내에 회원과 상담을 진행했는지, 재등록 전환율 50% 이상을 달성했는지를 평가합니다.",회원 이용 패턴 → AI 타이밍 예측 → FC 알림 → 상담 진행 → 재등록율 측정,0.85
24,,세일즈북 자동 업데이트,신규 전환율 (Branch Manager),(신규 등록 수 / 신규 상담 수) × 100,간접 영향,"1. 신규 등록 수
2. 신규 상담 수","1. 직원 앱(FC)에서 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다",성공 상담 패턴 AI 학습 및 세일즈북 자동 업데이트. 전사 상담 품질 표준화로 지점 신규 전환율 35%+ 달성,"성공한 상담 패턴과 스크립트를 AI가 학습하여 세일즈북을 자동으로 업데이트하고, 전사 FC의 상담 품질을 표준화합니다.","지점 신규 전환율 35%+, 
FC 간 편차 50% 감소","지점 매니저가 세일즈북 업데이트 내용을 FC에게 월 1회 이상 공유하고, 지점 신규 전환율 35% 이상을 달성했는지, FC 간 전환율 편차를 50% 이상 감소시켰는지를 평가합니다.",상담 데이터 → AI 패턴 학습 → 세일즈북 업데이트 → FC 교육 → 전환율 측정,0.84
25,,AI 이탈 예측 및 방지 스크립트,이탈률 (Branch Manager),(이탈 회원 수 / 만료 회원 수) × 100,직접 영향,"1. 회원권 만료 데이터
2. 이탈 회원 데이터","1. 회원 계약 시 저장된 만료일을 기준으로 시스템이 자동 계산하여 만료 예정 회원을 집계한 Data를 가져온다
2. 회원권 만료 후 재등록하지 않은 회원을 시스템이 자동으로 집계하여 이탈로 처리된 Data를 가져온다",회원 행동 패턴 AI 분석으로 이탈 위험 조기 감지. 맞춤 방지 스크립트 제공으로 이탈률 15% 이하 달성,"회원의 출석 감소, 만족도 하락 등 행동 패턴을 AI가 분석하여 이탈 위험을 조기 감지하고, FC에게 맞춤 방지 스크립트를 제공합니다.","이탈률 15% 이하, 
이탈 방지 성공률 35%","지점 매니저가 AI 이탈 예측 알림을 받은 후 3일 이내에 FC에게 상담을 지시했는지, 이탈률 15% 이하를 달성했는지, 이탈 방지 성공률 35% 이상을 달성했는지를 평가합니다.",회원 행동 데이터 → AI 이탈 예측 → 방지 스크립트 생성 → FC 상담 → 이탈률 측정,0.83
26,,CAC 최적화 AI 분석,신규 회원 획득 비용 (HQ),총 마케팅 비용 / 신규 회원 수,직접 영향,"1. 마케팅 비용 데이터
2. 신규 회원 수",1. 본사 재무 시스템에 입력되어 저장된 마케팅 비용 Data를 가져온다,채널별 전환율 AI 분석으로 마케팅 예산 최적 배분. 고효율 채널 집중으로 CAC -30% 달성,"마케팅 채널별(온라인 광고, SNS, 오프라인 등) 전환율과 ROI를 AI가 분석하여 최적의 예산 배분 방안을 제안하고, 신규 회원 획득 비용을 최소화합니다.","CAC -30%, 
채널별 ROI 평균 +50%","본사가 CAC 최적화 AI 분석 결과를 분기 1회 이상 검토하고, 마케팅 예산을 재배분했는지, CAC를 30% 이상 절감했는지, 채널별 ROI를 평균 50% 이상 향상시켰는지를 평가합니다.",채널별 데이터 → AI ROI 분석 → 예산 재배분 제안 → 실행 → CAC 측정,0.86
,,,,,,,,,,,,,
,,,,,0.058533333,,,,,,,,
,,,,,,,,,,,,,
,,,,,6.74%,,,,,,,,
